TAXA	08AM	08PM	09AM	09PM	10AM	10PM	11AM	11PM	12AM	12PM	13AM	13PM	14AM	15AM	15PM	16AM	17AM	17PM	18AM	18PM	19AM	19PM	20AM	20PM	21AM	21PM	22AM	22PM	23AM	23PM	25AM	26AM	26PM	27AM	27PM	28AM	29AM	29PM	30AM	30PM	31AM
OTHER	0.105263158	0.081395349	0.145205479	0.160409556	0.063106796	0.048814505	0.09762533	0.059171598	0.086956522	0.032520325	0.034482759	0.129533679	0.06185567	0.106951872	0.203252033	0.06	0.146067416	0.207865169	0.113513514	0.134615385	0.103004292	0.184466019	0.073643411	0.134502924	0.042553191	0.15	0.135802469	0.208333333	0.121428571	0.239316239	0.140625	0.024096386	0.117647059	0.14556962	0.129464286	0.176870748	0.365957447	0.286764706	0.196721311	0.20083682	0.167567568
OTHER 	0.006578947	0.003875969	0	0	0	0	0	0	0.00511509	0.008130081	0	0.005181347	0.013745704	0.002673797	0.008130081	0.01	0.011235955	0	0.005405405	0.006410256	0.030042918	0	0.011627907	0.011695906	0.021276596	0.008333333	0.012345679	0.017361111	0.007142857	0.008547009	0.020833333	0	0	0.018987342	0.004464286	0.06122449	0.012765957	0.047794118	0.06010929	0.020920502	0.021621622
BATHYOCCUS	0	0	0	0	0.002427184	0	0.002638522	0	0.00511509	0	0	0	0.017182131	0.002673797	0	0	0.007490637	0.005617978	0.016216216	0.012820513	0.008583691	0.003236246	0.007751938	0.005847953	0	0	0.00617284	0.003472222	0.021428571	0	0.015625	0	0	0.018987342	0	0.020408163	0.008510638	0.011029412	0.016393443	0.008368201	0.010810811
MICROMONAS	0	0	0	0.003412969	0	0.0013947	0	0.00295858	0.00511509	0	0.00862069	0	0.006872852	0	0.008130081	0.02	0.011235955	0	0.016216216	0.006410256	0.008583691	0.003236246	0	0.029239766	0.010638298	0.008333333	0	0.010416667	0.035714286	0.004273504	0	0	0.018099548	0.012658228	0.008928571	0	0.034042553	0.018382353	0.038251366	0.012552301	0.021621622
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
OTHER	0	0.003875969	0.005479452	0	0	0.005578801	0	0.00295858	0.002557545	0	0.00862069	0	0.003436426	0.00802139	0.008130081	0	0.003745318	0	0.005405405	0.006410256	0	0.006472492	0.003875969	0.005847953	0	0	0	0.003472222	0.003571429	0	0.005208333	0.012048193	0.009049774	0.006329114	0	0.006802721	0	0.007352941	0.005464481	0	0.010810811
OTHER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003676471	0	0	0
OTHER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004255319	0	0	0	0
MGII	0.085526316	0.034883721	0.032876712	0.010238908	0.012135922	0.027894003	0.018469657	0.01183432	0.017902813	0.008130081	0.034482759	0	0.013745704	0.018716578	0.016260163	0.005	0.04494382	0.016853933	0.010810811	0.019230769	0.021459227	0.003236246	0.011627907	0	0	0.008333333	0.018518519	0.010416667	0.010714286	0.012820513	0.010416667	0.012048193	0.004524887	0.03164557	0	0	0.025531915	0.040441176	0	0.012552301	0.005405405
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
OTHER	0	0.007751938	0.002739726	0	0.009708738	0.0041841	0.002638522	0.00295858	0.002557545	0.008130081	0	0.020725389	0.020618557	0.00802139	0	0	0	0.005617978	0.010810811	0.012820513	0	0	0.011627907	0.005847953	0	0.016666667	0.018518519	0.003472222	0.007142857	0.021367521	0.010416667	0.012048193	0.004524887	0.025316456	0.008928571	0.034013605	0	0.007352941	0	0.012552301	0.010810811
OTHER	0	0	0	0.003412969	0	0	0	0	0	0	0	0	0.003436426	0	0.008130081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTHER	0	0.003875969	0.002739726	0	0.002427184	0	0.005277045	0.00295858	0.012787724	0.016260163	0.034482759	0.005181347	0	0.005347594	0.008130081	0	0.003745318	0.005617978	0	0.019230769	0.012875536	0.003236246	0	0	0	0	0.00617284	0.010416667	0.021428571	0	0.015625	0.012048193	0.009049774	0	0.008928571	0.006802721	0.004255319	0	0.016393443	0.012552301	0.032432432
MICROTRICHALES	0	0.003875969	0.002739726	0	0.002427184	0.005578801	0	0.00591716	0.00511509	0.008130081	0	0.010362694	0.013745704	0.002673797	0	0	0	0	0	0	0.012875536	0.006472492	0	0	0.010638298	0	0	0	0.003571429	0	0	0	0	0	0.004464286	0	0	0	0	0	0
TMED189	0.006578947	0.003875969	0.005479452	0	0.012135922	0.009762901	0.005277045	0	0.002557545	0	0	0.025906736	0.003436426	0.00802139	0	0	0.026217228	0	0.016216216	0.006410256	0.004291845	0	0.007751938	0	0.010638298	0.016666667	0.00617284	0.003472222	0.003571429	0	0.015625	0.012048193	0	0	0	0	0.021276596	0.018382353	0	0.012552301	0.016216216
OTHER 	0	0.003875969	0	0.003412969	0	0	0	0	0.002557545	0.008130081	0	0	0	0	0	0	0	0.005617978	0.005405405	0	0.004291845	0	0.003875969	0	0	0.008333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041841	0
BREAK	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005
